,epochs,num_fidelities_0,num_times_0,num_fidelities_1,num_times_1,num_fidelities_2,num_times_2,num_fidelities_3,num_times_3,num_fidelities_4,num_times_4
3085,3085,0.7968192800604176,70.98435711860657,0.7686162659754849,83.19950652122498,0.754272595631514,77.68999981880188,0.7524339557324379,96.10185527801514,0.748067733583943,85.65848016738892
3086,3086,0.796815337371853,71.02478551864624,0.7686214863358367,83.22258639335632,0.7542838434280671,77.71853375434875,0.7524481497353532,96.13471007347107,0.7480798673740384,85.68652558326721
3087,3087,0.7968154108466484,71.0506694316864,0.7686266962365309,83.24957180023193,0.7542950939022057,77.74545574188232,0.7524624144464254,96.17039895057678,0.7480920924177883,85.71676969528198
3088,3088,0.7968185512384585,71.09767365455627,0.7686318750669017,83.27410078048706,0.7543063485913042,77.76794767379761,0.7524767422306929,96.20232272148132,0.7481044048537994,85.74471592903137
3089,3089,0.7968253510025929,71.1354193687439,0.7686369984439299,83.30142045021057,0.7543176088862666,77.79240012168884,0.7524911260071597,96.23460268974304,0.7481167990827359,85.76971292495728
3090,3090,0.7968357493820459,71.17061710357666,0.7686420419338653,83.32544922828674,0.7543288759531296,77.81360745429993,0.7525055593763557,96.26609444618225,0.748129268079009,85.79951667785645
3091,3091,0.7968471376512667,71.1928083896637,0.7686469846140644,83.34801292419434,0.754340150673978,77.83647084236145,0.7525154778574185,96.30318403244019,0.7481418037580696,85.83097195625305
3092,3092,0.7968493092603278,71.22166395187378,0.7686518119489978,83.37234807014465,0.7543514336082277,77.8585319519043,0.7525254520104363,96.33802652359009,0.7481543973771063,85.85981059074402
3093,3093,0.7968553256880966,71.24616956710815,0.7686565176020925,83.39631581306458,0.7543627249718686,77.87824988365173,0.7525354774938376,96.37937307357788,0.748164666476772,85.88469743728638
3094,3094,0.7968537088273885,71.26576137542725,0.7686611039938788,83.42052483558655,0.754374024634473,77.89771580696106,0.7525455501177788,96.41602230072021,0.7481749689566309,85.9096782207489
3095,3095,0.7968448895528248,71.29269170761108,0.7686655816092843,83.44420170783997,0.7543853321316651,77.91778230667114,0.7525556657949062,96.45355200767517,0.748185285295754,85.93688702583313
3096,3096,0.7968338874741612,71.31589436531067,0.7686699672352155,83.47099232673645,0.7543966466905049,77.93746209144592,0.7525658205172229,96.48950934410095,0.7481955987949204,85.95718216896057
3097,3097,0.7968245170137461,71.34057021141052,0.7686742814479487,83.49641513824463,0.754407967266795,77.96184229850769,0.7525760103522404,96.52404928207397,0.7482058957460344,85.98162937164307
3098,3098,0.7968167165789594,71.36360716819763,0.7686785457485276,83.52111768722534,0.7544192925895378,77.98837566375732,0.7525862314581482,96.56595802307129,0.7482161654873549,86.00460076332092
3099,3099,0.7968160106141798,71.38657069206238,0.7686814098450443,83.54554009437561,0.7544306212111601,78.01564359664917,0.7525964801136026,96.60575222969055,0.7482264003464039,86.02599501609802
3100,3100,0.7968168173734492,71.40876889228821,0.768684186514215,83.5722758769989,0.7544419515601337,78.03862047195435,0.7526067527569401,96.65265846252441,0.7482365954798853,86.05316638946533
3101,3101,0.7968105108955189,71.42895841598511,0.7686868370103805,83.60145545005798,0.7544532819933031,78.06277394294739,0.7526170460322297,96.68929290771484,0.7482467486267544,86.075110912323
3102,3102,0.796806840944179,71.44949221611023,0.7686893533112179,83.62621903419495,0.7544646108448408,78.08961844444275,0.752627356834853,96.72746729850769,0.7482568597940039,86.09907102584839
3103,3103,0.7968048282995162,71.47210597991943,0.7686917603121638,83.65160155296326,0.754475936470642,78.11600613594055,0.7526376823557728,96.76375269889832,0.74826925750912,86.12123346328735
3104,3104,0.7968045664267668,71.49214363098145,0.7686941117226673,83.6739137172699,0.7544872572854979,78.13953113555908,0.7526480201183825,96.79636836051941,0.7482816272818287,86.14160561561584
3105,3105,0.7968009529674112,71.51267194747925,0.7686964809795116,83.70096111297607,0.7544985717937104,78.16284322738647,0.7526583680062897,96.83190035820007,0.7482939775987004,86.1668336391449
3106,3106,0.7967994630466684,71.54502534866333,0.7686989493064991,83.72379541397095,0.7545098786114212,78.18814945220947,0.75266872427885,96.8717908859253,0.7483063172162189,86.18885684013367
3107,3107,0.7967981599779868,71.5740818977356,0.7687015934253096,83.75070834159851,0.7545211764847314,78.21489310264587,0.7526790875752821,96.91716384887695,0.7483186543978411,86.21092796325684
3108,3108,0.7967968883626996,71.60575413703918,0.7687044752085255,83.77360367774963,0.754532464304023,78.23364067077637,0.7526894569047955,96.9525830745697,0.7483309963315855,86.23564505577087
3109,3109,0.7967999439189818,71.63357663154602,0.7687076341371495,83.80060267448425,0.7545442807797141,78.25742673873901,0.75269679186232,96.98393893241882,0.7483433489093935,86.25758290290833
3110,3110,0.796801660686273,71.66087031364441,0.7687110820565223,83.82407975196838,0.7545560885074539,78.28176689147949,0.7527041977593336,97.01745533943176,0.74835571684909,86.28212451934814
3111,3111,0.7968006555474908,71.68348479270935,0.7687148022017961,83.85026812553406,0.7545678893154791,78.30242609977722,0.7527116633166315,97.05517601966858,0.7483681036748318,86.30320501327515
3112,3112,0.7968068520737814,71.70879173278809,0.7687187523176432,83.87662386894226,0.7545796872050705,78.32918405532837,0.752719178899471,97.10548639297485,0.7483805109556579,86.32632851600647
3113,3113,0.7967944615124645,71.73218274116516,0.7687228720586969,83.90258574485779,0.7545914883422578,78.35249376296997,0.7527267364061329,97.15403413772583,0.7483929379226218,86.35266280174255
3114,3114,0.7967831999979358,71.75436639785767,0.7687270945634865,83.9247395992279,0.7546033008587629,78.37456059455872,0.7527343291304049,97.18792581558228,0.7484030211718151,86.37586522102356
3115,3115,0.7967733591506297,71.77736711502075,0.7687313576225138,83.95007371902466,0.7546151344858717,78.39960789680481,0.752741951603751,97.21817588806152,0.7484131136372553,86.40106511116028
3116,3116,0.7967688031164574,71.79885458946228,0.7687356120349933,83.97362542152405,0.7546270000608917,78.42712378501892,0.7527495994226356,97.2466402053833,0.748423201092184,86.42313647270203
3117,3117,0.7967689890855487,71.82420754432678,0.7687398269994502,83.99893546104431,0.7546389089476919,78.44946813583374,0.7527572690693859,97.27178978919983,0.748436918469424,86.44655728340149
3118,3118,0.7967718042184786,71.84494185447693,0.7687439924566032,84.02448630332947,0.754650872420978,78.47063708305359,0.7527649577332388,97.3003261089325,0.7484533150449165,86.47057700157166
3119,3119,0.7967748642976233,71.86591005325317,0.7687481183349201,84.05089044570923,0.7546629010604436,78.49281334877014,0.7527726631384138,97.3271074295044,0.7484697136589908,86.4943733215332
3120,3120,0.7967743358293495,71.89210104942322,0.7687522309960907,84.0739152431488,0.7546750041959205,78.51369905471802,0.7527812120347844,97.35264110565186,0.7484860882145993,86.51719093322754
3121,3121,0.7967716652430293,71.91210126876831,0.7687563675650586,84.10053944587708,0.7546871894367406,78.53679060935974,0.7527897722165429,97.38014101982117,0.7485024179301166,86.54090070724487
3122,3122,0.7967655836786244,71.93375873565674,0.7687605691123963,84.12423586845398,0.7546994623059073,78.56193995475769,0.7527983436581732,97.4065351486206,0.7485186874140295,86.56822371482849
3123,3123,0.7967596525547976,71.95720505714417,0.7687648737729068,84.15090489387512,0.754711825990722,78.58247423171997,0.7528069275404271,97.43190670013428,0.7485348865193031,86.59015226364136
3124,3124,0.7967565735641138,71.98033905029297,0.7687693108228966,84.17693948745728,0.7547242812214006,78.60425233840942,0.7528155262824092,97.46104192733765,0.7485510099972168,86.61807322502136
3125,3125,0.7967567754781313,72.00314855575562,0.768773896522736,84.20214629173279,0.7547368262905276,78.62809348106384,0.7528241434551685,97.48789954185486,0.7485670569843249,86.64309024810791
3126,3126,0.7967526689403513,72.02459383010864,0.7687786322175013,84.23062014579773,0.7547494572162067,78.65016269683838,0.7528327835916008,97.51816534996033,0.7485853442306746,86.6680359840393
3127,3127,0.7967537064070445,72.04700374603271,0.7687835048147036,84.25471186637878,0.7547621680261948,78.6720986366272,0.7528414519142134,97.54384112358093,0.7486035731850628,86.71827960014343
3128,3128,0.7967558930287808,72.06835722923279,0.7687884893994331,84.28161478042603,0.7547749511122421,78.69480586051941,0.7528501540087603,97.56727814674377,0.7486217547741566,86.74756741523743
3129,3129,0.7967593981540866,72.0920000076294,0.7687935534443255,84.30734324455261,0.7547877976010726,78.71695184707642,0.7528588954692644,97.59140419960022,0.748639901296667,86.77315974235535
3130,3130,0.7967643185486325,72.11229491233826,0.7687986618739013,84.33394575119019,0.7548006976975004,78.74070906639099,0.7528676815449931,97.61595034599304,0.7486580255774582,86.80422687530518
