,fidelities
828,0.00816059215826903106
829,0.004758433904498816404
830,0.8048655334746642742
831,0.89851139384393408083
832,0.7627702850103844634
833,0.60221350989713029467
834,0.6395390232916460249
835,0.8046140950462885577
836,0.8926281070087654923
837,0.0059949038550257691474
838,0.96711746700892275985
839,0.9720176633713170089
840,0.0063806246034801006317
841,0.005751675469051344136
842,0.011948776345056328491
843,0.78737067123395643176
844,0.62038927063023174835
845,0.07886840038550876897
846,0.004956448916345834732
847,0.1173664623180535882
848,0.0055482457391917705536
849,0.8062388300895690918
850,0.46443396112942275655
851,0.006418736654300971449
852,0.69253725302384350204
853,0.0059476932510733613105
854,0.76364388544905315026
855,0.97309460941205772055
856,0.6156974310213133572
857,0.0072204825920048855067
858,0.97225702843862849
859,0.21437980606125278671
860,0.8054983515634793756
861,0.5804075304271670843
862,0.67600238175847604527
863,0.006530616898089647293
864,0.80579415323304726115
865,0.5887094987304644089
866,0.80503846090091668586
867,0.6421747622004587708
868,0.50773464204342955153
869,0.7283017935681872501
870,0.0057009579613804808526
871,0.49987333141230833045
872,0.80639111995697032587
873,1.0
874,0.80587965250015247687
875,0.5856266638881472142
876,0.98085204794603741973
877,0.005107617937028407183
878,0.340971012164888454
879,0.31335843043462424662
880,0.6960091116023722213
881,0.9666714017724880037
882,1.0
883,0.5799852474578535144
884,0.61649987550674523185
885,0.106980711444736559246
886,0.007799185346812008944
887,0.8069097473011588306
888,0.0101703930471610769215
889,0.0062657636590301999183
890,0.80777007341384887695
891,0.62945385746278170735
892,0.072830994587087138914
893,0.973464208502499484
894,0.7977648812034238146
895,0.8077013657579932282
896,0.6275617686687323671
897,0.020739989468945625728
898,0.013254309478219603383
899,0.74554942352318320786
900,0.6185763934731299818
901,0.07177139370022206366
902,0.6634010382333016542
903,0.7120731039589434097
904,0.48923348738173827455
905,0.004480008899527480881
906,0.0102805690839886648
907,0.97745701438787235826
908,0.006600270047783852491
909,0.46367312889640349693
910,0.5820541001935961578
911,0.8073920607566833496
912,0.8063762615308018855
913,0.0071694430636060407433
914,1.0
915,0.6182695035541559969
